%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1481888387826351488,117,1481888387815843047,,0,0,46.518497467,6.56655788422,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888388421634238,118,1481888388416336502,,0,0,46.518497467,6.56653594971,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888389088287750,119,1481888389084393758,,0,0,46.5184936523,6.56649971008,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888389591291815,120,1481888389588206517,,0,0,46.5184898376,6.56645393372,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888390162132023,121,1481888390159879273,,0,0,46.5184898376,6.56642055511,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888390659444031,122,1481888390654756917,,0,0,46.5184822083,6.56638717651,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888391158095720,123,1481888391155301671,,0,0,46.5184707642,6.56635427475,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888391625082297,124,1481888391620040133,,0,0,46.5184593201,6.56632375717,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888392110325507,125,1481888392106655680,,0,0,46.5184364319,6.56630325317,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888392701592391,126,1481888392697987564,,0,0,46.5184135437,6.5662946701,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888393320518572,127,1481888393316672913,,0,0,46.5183830261,6.56629800797,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888393982343617,128,1481888393978306292,,0,0,46.5183525085,6.56631374359,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888394610293350,129,1481888394604555252,,0,0,46.5183258057,6.56634426117,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888395137067461,130,1481888395132931699,,0,0,46.5183067322,6.56637954712,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888395529434281,131,1481888395526198098,,0,0,46.5182991028,6.56641244888,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888395850287214,132,1481888395847140875,,0,0,46.5182952881,6.5664396286,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888396194760872,133,1481888396192365362,,0,0,46.5182991028,6.5664601326,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888396674581711,134,1481888396671542819,,0,0,46.5183029175,6.56648588181,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888397264204488,135,1481888397260466276,,0,0,46.5183105469,6.5665140152,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888397816913269,136,1481888397813869481,,0,0,46.5183258057,6.56653738022,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888398298065405,137,1481888398295581614,,0,0,46.5183486938,6.56655788422,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888398717184912,138,1481888398714650601,,0,0,46.5183677673,6.56656742096,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888399160447901,139,1481888399156020891,,0,0,46.5183830261,6.56656694412,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888399700492263,140,1481888399696743582,,0,0,46.5184020996,6.5665602684,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888400337925598,141,1481888400335508005,,0,0,46.5184249878,6.56656217575,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888400898032366,142,1481888400894871547,,0,0,46.5184440613,6.56653308868,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888401433984299,143,1481888401430131192,,0,0,46.5184669495,6.56651973724,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888401978750044,144,1481888401975204800,,0,0,46.518497467,6.5665230751,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888402681144327,145,1481888402673822747,,0,0,46.5185203552,6.56653165817,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888403306304751,146,1481888403300526548,,0,0,46.5185432434,6.56649112701,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888403974916274,147,1481888403972062381,,0,0,46.5185585022,6.5664525032,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888404482010268,148,1481888404477504925,,0,0,46.518573761,6.5664100647,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888404853889475,149,1481888404850724906,,0,0,46.5185928345,6.56638479233,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888405314350717,150,1481888405311115940,,0,0,46.5186004639,6.56636810303,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888405591429271,151,1481888405588863762,,0,0,46.518611908,6.5663356781,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888406036825740,152,1481888406033702473,,0,0,46.5186157227,6.56631422043,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888406513079565,153,1481888406510816815,,0,0,46.518611908,6.56628608704,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888406952483093,154,1481888406950215134,,0,0,46.5186042786,6.56625509262,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
